Number	Title	State	Merged	Created Date	Updated Date	Closed Date	User	Labels
31104	Attempt to reset Servlet response before calling ExceptionHandlers	open	False	2023-08-24 03:49:42	2023-08-24 03:52:42		aooohan	['status: waiting-for-triage']
31101	Introduce configuration to diable @Scheduled tasks	closed	False	2023-08-23 16:00:27	2023-08-23 18:42:19	2023-08-23 18:41:51	Leewei222	['status: declined']
31091	Fix invalid type name in RSocket section of the reference documentation	closed	False	2023-08-22 14:52:22	2023-08-22 14:58:20	2023-08-22 14:58:09	aahlenst	['type: documentation']
31084	Add `@Nullable` to `value` in `param()` methods in `JdbcClient`	closed	True	2023-08-21 12:28:29	2023-08-21 23:55:23	2023-08-21 13:50:39	making	['in: data', 'type: enhancement']
31083	`@DynamicPropertySource` in `@Nested` test class cannot override dynamic properties from enclosing class	closed	False	2023-08-21 10:03:03	2023-08-21 13:27:39	2023-08-21 12:27:50	quaff	['in: test', 'status: backported', 'type: bug']
31080	Conditions on overloaded beans not honored	closed	False	2023-08-20 21:38:51	2023-08-22 12:39:43	2023-08-22 12:39:36	EdoardoP92	['status: declined']
31078	FIx jpa and kotlin-scripts test for Java 18+	closed	False	2023-08-20 21:04:38	2023-08-21 09:32:05	2023-08-21 09:05:46	bdshadow	['status: invalid', 'theme: kotlin']
31076	Wrap ternary operator within parentheses	closed	False	2023-08-19 06:36:31	2023-08-22 13:59:09	2023-08-22 13:56:01	70825	['type: task']
31075	Condition on the overloaded Bean not honored #30688	closed	False	2023-08-18 12:39:00	2023-08-20 20:49:30	2023-08-20 20:49:30	EdoardoP92	['status: waiting-for-triage']
31063	Update README.md	closed	False	2023-08-18 05:08:36	2023-08-18 06:31:29	2023-08-18 06:31:21	RAZIULLAH-KHAN12	['status: invalid']
31029	Fix nullable get method of title of ProblemDetail.java	closed	False	2023-08-10 16:39:45	2023-08-23 13:10:49	2023-08-10 17:30:53	haydin505	['in: web', 'status: declined']
31025	Improve documentation on inferred destruction callbacks #30745	closed	False	2023-08-10 09:16:49	2023-08-12 11:47:04	2023-08-12 11:47:04	harshal-gav	['type: documentation', 'status: invalid', 'in: core']
31022	Docs build updates	closed	True	2023-08-09 22:13:45	2023-08-10 13:52:09	2023-08-10 13:52:07	rwinch	['type: documentation']
31016	refactor: rename variable name with 'camelCase' style.	closed	False	2023-08-09 09:07:44	2023-08-15 09:25:14	2023-08-13 11:07:18	remeio	['status: declined']
31015	Change Kotlin `Any` to be a nullable type in AOP refdoc examples	closed	False	2023-08-09 07:41:07	2023-08-10 17:16:53	2023-08-10 17:16:10	AlmostFamiliar	['type: documentation', 'theme: kotlin']
31012	"Fixed an error connecting to another database ignoring the ""spring.datasource.url"" setting in ""application.properties"""	closed	False	2023-08-08 11:59:45	2023-08-19 12:47:12	2023-08-19 12:47:05	pyg410	[]
31006	Fix misspelling of `applicationListenerDectector` variable	closed	True	2023-08-07 10:44:44	2023-08-09 09:13:43	2023-08-07 14:14:55	remeio	['type: task', 'in: core']
30995	Switching thread context classloader during mvc method execution	closed	False	2023-08-04 08:44:46	2023-08-05 10:32:50	2023-08-04 13:11:12	graceyu-own	['in: web', 'status: declined', 'type: enhancement']
30993	Optimize collection usage in CGLIB fork	closed	False	2023-08-03 21:23:52	2023-08-06 09:12:33	2023-08-05 13:22:43	alidandach	['type: task', 'in: core']
30988	Support direct shard query routing in Spring JDBC	open	False	2023-08-03 10:53:51	2023-08-18 16:14:38		Anir-Ln	['status: waiting-for-triage', 'in: data', 'type: enhancement']
30980	Support @HttpExchange for server side handling 	closed	False	2023-08-02 14:56:45	2023-08-04 15:22:54	2023-08-04 15:22:54	OlgaMaciaszek	['in: web', 'type: enhancement']
30973	Give `spring-core` access to `org.jboss.vfs` for `VfsUtils` support on WildFly	closed	False	2023-08-01 14:20:32	2023-08-02 14:57:34	2023-08-02 06:49:17	marschall	['in: core', 'type: enhancement']
30971	Provide methods for obtaining include/exclude path patterns in `MappedInterceptor`	closed	False	2023-08-01 08:01:17	2023-08-04 08:01:23	2023-08-01 13:21:15	graceyu-own	['in: web', 'type: enhancement']
30963	`IllegalStateException` cannot be thrown in `SpringExtension`	closed	False	2023-07-28 15:17:55	2023-08-03 21:03:06	2023-08-02 08:33:42	alidandach	['in: test', 'status: duplicate', 'status: invalid']
30959	Update documentation for HTTP Interface return values	closed	False	2023-07-27 16:03:57	2023-07-31 11:54:29	2023-07-31 11:54:28	OlgaMaciaszek	['type: documentation', 'in: web']
30957	Fix typo in javadoc	closed	False	2023-07-27 04:32:55	2023-08-02 15:00:37	2023-08-02 15:00:36	flex-ilsub	['type: documentation', 'status: superseded']
30942	Use `readNBytes` in `StringHttpMessageConverter` when `contentLength` is available	closed	False	2023-07-25 15:32:29	2023-08-04 12:58:09	2023-08-04 12:57:21	kilink	['in: web', 'type: enhancement']
30936	Support `@RSocketExchange` for responding	closed	False	2023-07-24 14:58:57	2023-07-28 09:50:07	2023-07-28 09:49:54	OlgaMaciaszek	['in: messaging', 'type: enhancement']
30934	Skip array sort when the length of array not greater than 1	closed	False	2023-07-24 09:38:40	2023-08-15 09:25:23	2023-08-04 12:35:54	remeio	['in: core', 'type: enhancement']
30928	Move blocking writeResource operation to boundedElastic	open	False	2023-07-23 20:55:26	2023-08-16 12:27:08		Arooba-git	['in: web', 'type: enhancement']
30922	Update README.md	closed	False	2023-07-21 11:39:21	2023-07-21 12:51:58	2023-07-21 12:51:52	mangeshdhande70	['status: invalid']
30916	Correct inaccuracy in spring docs	closed	False	2023-07-20 06:19:50	2023-07-20 11:45:43	2023-07-20 11:45:35	luchob	['status: declined']
30915	一个spring的源码测试环境	closed	False	2023-07-19 19:06:16	2023-07-19 19:36:21	2023-07-19 19:36:13	dev-ccz	['status: invalid']
30911	Update to antora-ui-spring 0.3.3	closed	True	2023-07-18 16:15:39	2023-07-18 16:44:42	2023-07-18 16:44:00	rwinch	['type: documentation']
30904	Polish AbstractReflectionParameterNameDiscovererKotlinTests	closed	False	2023-07-17 14:44:05	2023-08-08 09:50:17	2023-08-08 08:26:51	izeye	['type: task', 'in: core']
30903	Move blocking view resolution to boundedElastic	closed	False	2023-07-17 13:49:36	2023-08-17 14:44:28	2023-08-17 14:44:27	Arooba-git	['in: web', 'type: enhancement']
30899	Add example of buffering with WebClient to the reference documentation	open	False	2023-07-16 09:29:00	2023-07-16 09:33:18		Nheyll	['status: waiting-for-triage']
30896	Enable `KotlinScriptTemplateTests` with Java 20	closed	False	2023-07-15 09:45:43	2023-07-15 12:13:18	2023-07-15 12:02:35	izeye	['type: task', 'theme: kotlin']
30893	Add missing `@Nullable` annotations in `AbstractResourceResolver` subclasses in Spring MVC	closed	False	2023-07-15 03:12:44	2023-07-15 14:03:12	2023-07-15 14:02:08	izeye	['in: web', 'type: enhancement']
30891	Eliminate redundant lookups of classes and annotations	closed	False	2023-07-14 16:09:17	2023-07-15 13:48:04	2023-07-15 12:13:14	jengebr	['status: duplicate', 'in: core', 'type: enhancement']
30879	Update to spring-antora-ui v0.3.2	closed	True	2023-07-12 16:30:24	2023-07-12 16:31:21	2023-07-12 16:31:20	rwinch	['type: task']
30878	Update to antora-ui-spring v0.3.1	closed	True	2023-07-12 16:03:05	2023-07-12 16:07:53	2023-07-12 16:07:52	rwinch	['type: task']
30869	Add HttpExchangeAdapter for RestClient	closed	False	2023-07-11 16:09:01	2023-07-11 18:14:18	2023-07-11 18:14:18	OlgaMaciaszek	['in: web', 'type: enhancement']
30853	Polish `@Scheduled` observability support and documentation	closed	False	2023-07-10 15:13:49	2023-07-10 23:35:24	2023-07-10 20:24:35	izeye	['type: task', 'theme: observability']
30839	Simplify `DefaultSingletonBeanRegistry.isDependent()`	closed	False	2023-07-08 14:05:35	2023-07-09 14:38:36	2023-07-09 13:52:15	bnbakp0582	['status: backported', 'in: core', 'type: enhancement']
30838	Fix build cache miss in runtimeHintsTest task	closed	False	2023-07-07 21:57:46	2023-07-10 20:50:51	2023-07-10 20:50:07	erichaagdev	['type: task']
